product_name,product_category,price,battery_life,physical_specs,ram,min_storage,max_storage,description
"MacBook Air 13""",Laptop,1199,18,2.7 x 11.97 x 0.44 inches / 2.7 lbs,8,256,1024,Lightweight ultrabook perfect for students and everyday users. M-series chip handles most tasks efficiently. Excellent portability with solid all-day battery life.
"MacBook Air 15""",Laptop,1299,18,2.7 x 13.6 x 0.44 inches / 3.3 lbs,8,256,1024,Larger screen MacBook Air for those wanting more real estate without the Pro pricing. Great for content creators and multitasking. Same portability benefits as 13-inch.
"MacBook Pro 13""",Laptop,1599,17,2.97 x 11.97 x 0.61 inches / 3.0 lbs,8,256,1024,Entry-level Pro machine for professionals needing more power than Air. ProMotion display and enhanced cooling. Good for light video editing and development work.
"MacBook Pro 14""",Laptop,1999,17,3.01 x 12.31 x 0.61 inches / 3.5 lbs,8,512,2048,Sweet spot for professionals. Significantly more powerful with better graphics. 14-inch screen is ideal for code and design work. Notch design with more ports.
"MacBook Pro 16""",Laptop,2499,22,3.01 x 14.01 x 0.61 inches / 4.7 lbs,8,512,8192,"Powerhouse for video editors, 3D artists, and developers. Largest MacBook with exceptional battery life. Handles demanding workflows with ease."
Mac mini,Desktop,599,0,5.0 x 5.0 x 1.9 inches / 1.2 lbs,8,256,2048,Compact desktop for budget-conscious users. Perfect as a media center or secondary machine. Excellent value for the performance delivered.
Mac Studio,Desktop,1999,0,7.7 x 7.7 x 3.7 inches / 2.0 lbs,32,512,4096,Powerful desktop for creative professionals who need desktop performance. Ideal base for video production and 3D rendering. Comes with high RAM standard.
iMac,Desktop,1499,0,21.5 inch display / 4.5 lbs,8,256,2048,All-in-one desktop with stunning Retina display. Great for creative work and everyday computing. Minimal desk clutter with integrated design.
Mac Pro,Desktop,6999,0,8.8 x 8.8 x 20.1 inches / 18 lbs,32,256,2048,"Enterprise-grade desktop for serious professionals. Highly expandable and customizable. Built for rendering, simulation, and extreme workloads."
iPhone 15,Smartphone,799,20,2.82 x 5.81 x 0.31 inches / 171g,6,128,512,Standard flagship iPhone with excellent all-around performance. New camera system and processor. Great for everyday users wanting the latest iPhone.
iPhone 15 Plus,Smartphone,899,26,2.82 x 6.33 x 0.31 inches / 201g,6,128,512,Larger iPhone 15 with exceptional battery life. Perfect for those who want a bigger screen without paying Pro prices. Lasts all day and then some.
iPhone 15 Pro,Smartphone,999,23,2.81 x 5.81 x 0.32 inches / 187g,8,128,1024,Professional iPhone with advanced camera system and titanium build. Perfect for photography enthusiasts and power users. Latest A-series processor.
iPhone 15 Pro Max,Smartphone,1199,29,2.81 x 6.33 x 0.32 inches / 221g,8,256,1024,Top-tier iPhone with largest screen and best camera. Best battery life of any iPhone. Ideal for creators and those wanting maximum performance.
iPad 10.9 (Standard),Tablet,329,10,9.7 inch display / 487g,4,64,256,Budget-friendly iPad perfect for media consumption and light work. Great for students and casual users. Solid performance for everyday tasks.
iPad Air 11,Tablet,599,10,10.9 inch display / 617g,8,64,1024,Mid-range iPad with excellent performance for productivity. 11-inch screen is ideal for split-view multitasking. Great value for professionals.
iPad Air 13,Tablet,799,10,13 inch display / 732g,8,256,1024,Larger iPad Air for serious creators and professionals. 13-inch screen rivals some laptops for creative work. Excellent for note-taking and design.
iPad Pro 11,Tablet,799,10,11 inch display / 487g,8,128,2048,Powerful compact tablet for professionals. M-series chip handles demanding apps. Great for content creation on the go.
iPad Pro 13,Tablet,1099,10,12.9 inch display / 682g,8,128,2048,"Premium large-format tablet for creative professionals. Massive screen rivals some laptops. Best for video editing, illustration, and complex workflows."
iPad mini 8.3,Tablet,499,10,8.3 inch display / 297g,4,64,512,"Portable iPad perfect for reading, comics, and gaming. Small enough to hold for extended periods. Great value in compact form factor."
Apple Watch Series 9 (41mm),Wearable,399,18,41mm case / 38.8g,0,0,0,Latest mainstream Apple Watch with improved fitness tracking. Larger 41mm face for better visibility. All the health features most people need.
Apple Watch Series 9 (45mm),Wearable,429,18,45mm case / 42.3g,0,0,0,Larger version of Series 9 for those preferring bigger watch faces. Same powerful features as 41mm. Better for larger wrists.
Apple Watch Ultra 2,Wearable,799,36,49mm titanium case / 61g,0,0,0,Rugged smartwatch for athletes and outdoor enthusiasts. Exceptional 36-hour battery life. Built for durability and extreme conditions.
Apple Watch SE (40mm),Wearable,249,18,40mm case / 32.7g,0,0,0,Budget-friendly Apple Watch with essential features. Great for fitness tracking and notifications. Perfect for first-time Watch buyers.
Apple Watch SE (44mm),Wearable,279,18,44mm case / 38.2g,0,0,0,Larger budget Apple Watch for those wanting bigger display without premium pricing. Same features as 40mm version.
AirPods Pro (3rd Gen),Audio,249,6,~5.3g each,0,0,0,Premium wireless earbuds with active noise cancellation. Exceptional sound quality and comfort for all-day wear. Industry-leading features.
AirPods Max,Audio,549,20,Headband design / 384.8g,0,0,0,Premium over-ear headphones with outstanding sound and ANC. 20-hour battery life for extended listening. Best for audiophiles.
AirPods (3rd Gen),Audio,129,6,~4.3g each,0,0,0,Affordable wireless earbuds with solid sound quality. Great for casual listening and calls. Best value in AirPods lineup.
Apple Vision Pro 256GB,Spatial Computing,3499,2.5,Sports band included,8,256,256,Revolutionary spatial computing device that blends digital content with the real world. Premium immersive experiences for entertainment and work.
Apple Vision Pro 512GB,Spatial Computing,3699,2.5,Sports band included,8,512,512,Larger storage Vision Pro for power users. Same cutting-edge spatial computing technology as 256GB model. For extended content libraries.
HomePod,Smart Speaker,299,0,4.3 x 4.3 x 4.3 inches / 345g,0,0,0,Premium smart speaker with exceptional audio quality. Integrates seamlessly with Apple ecosystem. Great for music and home automation.
HomePod mini,Smart Speaker,99,0,3.3 x 3.3 x 3.6 inches / 272g,0,0,0,Compact smart speaker with solid sound quality and smart home features. Perfect for any room in your house. Most affordable smart speaker.
